"celltype","p_value","mean_PT","mean_Metastasis"
"T/NK",0.468531468531469,0.209517832535884,0.133284638997381
"Hepatocyte",0.692307692307692,0.363855898510122,0.440104367212597
"Myeloid",0.692307692307692,0.275204877153752,0.329394670072276
"Fibroblast",0.811188811188811,0.043007398499156,0.0289204391299817
"Endothelial",0.863636363636364,0.0538501854040263,0.0117493438104122
"B",0.937062937062937,0.0599488264374634,0.0565465407773522
